Date,Open,High,Low,Close,Volume
2021-01-04,125.01,125.87,123.28,124.85,123248900
2021-01-05,123.82,127.28,123.46,126.55,111598500
2021-01-06,127.72,131.05,126.38,130.92,155088000
2021-01-07,131.05,131.63,127.86,131.01,109578200
2021-01-08,132.43,132.63,130.23,132.05,104965400
2021-01-11,129.19,130.17,128.50,128.98,100620900
2021-01-12,128.50,129.69,126.86,128.80,91951100
2021-01-13,128.76,131.45,128.49,130.89,88636800
2021-01-14,130.80,131.00,128.76,128.91,90221800
2021-01-15,128.78,130.22,127.00,127.14,111235300
